ID,prediction
2019 X 7 X C4001 X AS21126,0.0
2019 X 7 X C4001 X AS27134,0.0
2019 X 7 X C4001 X AS27132,0.0
2019 X 7 X C4001 X AS27000,0.0
2019 X 7 X C4001 X AS27137,0.0
2019 X 7 X C4001 X AS27138,0.0
2019 X 7 X C4001 X AS27133,0.0
2019 X 7 X C4023 X AS27000,0.0
2019 X 7 X C4023 X AS27133,0.0
2019 X 8 X C4023 X AS27000,0.0
2019 X 8 X C4023 X AS27133,0.0
2019 X 8 X C4001 X AS21126,0.0
2019 X 8 X C4001 X AS27134,0.0
2019 X 8 X C4001 X AS27132,0.0
2019 X 8 X C4001 X AS27000,0.0
2019 X 8 X C4001 X AS27137,0.0
2019 X 8 X C4001 X AS27138,0.0
2019 X 8 X C4001 X AS27133,0.0
2019 X 9 X C4001 X AS27134,0.0
2019 X 9 X C4001 X AS27132,0.0
2019 X 9 X C4001 X AS27000,0.0
2019 X 9 X C4001 X AS27137,0.0
2019 X 9 X C4001 X AS27138,0.0
2019 X 9 X C4001 X AS27133,0.0
2019 X 9 X C4023 X AS27000,0.0
2019 X 9 X C4023 X AS27133,0.0
2019 X 7 X C1066 X AS27134,0.0
2019 X 7 X C1066 X AS27132,0.0
2019 X 7 X C1066 X AS27000,0.0
2019 X 7 X C1066 X AS27137,0.0
2019 X 7 X C1066 X AS27138,0.0
2019 X 7 X C1066 X AS27133,0.0
2019 X 7 X C1026 X AS27134,0.0
2019 X 7 X C1026 X AS27132,0.0
2019 X 7 X C1026 X AS27000,0.0
2019 X 7 X C1026 X AS27137,0.0
2019 X 7 X C1026 X AS27138,0.0
2019 X 7 X C1026 X AS27133,0.0
2019 X 7 X C1063 X AS42018,0.0
2019 X 7 X C1063 X AS21126,0.0
2019 X 7 X C1063 X AS46000,0.0
2019 X 7 X C1063 X AS17005,0.0
2019 X 7 X C1063 X AS27134,0.0
2019 X 7 X C1063 X AS27132,0.0
2019 X 7 X C1063 X AS27000,0.0
2019 X 7 X C1063 X AS27139,0.0
2019 X 7 X C1063 X AS27137,0.0
2019 X 7 X C1063 X AS27138,0.0
2019 X 7 X C1063 X AS27133,0.0
2019 X 7 X C1011 X AS21126,3.430040806531906
2019 X 7 X C1011 X AS46000,6.369687080383301
2019 X 7 X C1011 X AS27134,22.34819531440735
2019 X 7 X C1011 X AS27132,6.400129795074463
